ID_AGENT,CODE_AGENT,NOM_AGENT,PRENOM_AGENT,TEL_AGENT,EMAIL_AGENT,GROUPE_AGENT,LOCALITE_AGENT,LATITUDE_AGENT,LONGITUDE_AGENT,ETAT_AGENT,TYPE_AGENT
13,AG0013,Chebbi,Lobna,+216 45 847581,lobna.chebbi@maghrebia.com.tn,Bancassurance,Nabeul,34.96286,9.510546,A,CO
14,AG0014,Chatti,Mohamed,+216 29 842225,mohamed.chatti@maghrebia.com.tn,Courtier,Sousse,35.54044,10.318848,A,CO
15,AG0015,Hmida,Sihem,+216 93 704201,sihem.hmida@maghrebia.com.tn,Agent Général,Nabeul,35.184498,9.314246,A,MA
16,AG0016,Ayari,Manel,+216 32 163556,manel.ayari@maghrebia.com.tn,Bancassurance,Ben Arous,35.180356,9.265561,A,MA
17,AG0017,Ayari,Nadia,+216 76 947272,nadia.ayari@maghrebia.com.tn,Mandataire,Gabès,33.658745,10.191287,A,AG
18,AG0018,Fakhfakh,Hedi,+216 47 520521,hedi.fakhfakh@maghrebia.com.tn,Courtier,Sousse,35.727384,10.891185,A,MA
19,AG0019,Ayari,Slim,+216 82 262316,slim.ayari@maghrebia.com.tn,Courtier,Médenine,35.281226,9.547508,A,BA
20,AG0020,Hamdi,Karim,+216 27 632496,,Courtier,Sfax,34.441113,10.540777,S,MA
21,AG0021,Abidi,Karim,+216 73 789305,karim.abidi@maghrebia.com.tn,Mandataire,Bizerte,37.189822,9.756459,A,BA
22,AG0022,Tlili,Houssem,+216 29 109767,houssem.tlili@maghrebia.com.tn,Mandataire,Gafsa,35.297658,9.243956,A,BA
23,AG0023,Fakhfakh,Wafa,+216 40 559469,wafa.fakhfakh@maghrebia.com.tn,Bancassurance,Gabès,33.967007,10.39234,A,AG
24,AG0024,Daoud,Mariem,+216 33 878480,mariem.daoud@maghrebia.com.tn,Bancassurance,Beja,34.869054,9.326378,A,BA
25,AG0025,Kouki,Khaled,+216 74 969634,khaled.kouki@maghrebia.com.tn,Réseau Direct,Jendouba,34.900134,9.278492,R,CO
26,AG0026,,Slim,+216 39 672092,,Bancassurance,Mahdia,35.049506,9.288856,A,BA
27,AG0027,  Abidi  ,Soumaya,+216 51 799330,soumaya.abidi@maghrebia.com.tn,Mandataire,Ben Arous,35.230481,9.443826,A,CO
28,AG0028,Hajji,Nadia,+216 23 288073,nadia.hajji@maghrebia.com.tn,Bancassurance,Gafsa,35.169432,9.447028,A,CO
29,AG0029,Belhaj,  Soumaya  ,+216 80 333238,soumaya.belhaj@maghrebia.com.tn,Agent Général,Nabeul,34.909795,9.692322,S,CO
30,AG0030,Hmida,Ines,+216 55 468203,ines.hmida@maghrebia.com.tn,Agent Général,Tunis,36.907711,10.406197,A,AG
31,AG0031,Abidi,Khaled,+216 33 725550,khaled.abidi@maghrebia.com.tn,Bancassurance,Bizerte,37.261836,10.190542,A,CO
32,AG0032,Hamdi,Slim,+216 45 481913,slim.hamdi@maghrebia.com.tn,Bancassurance,Nabeul,35.073893,9.598032,A,BA
33,AG0033,Daoud,Mariem,+216 36 301158,mariem.daoud@maghrebia.com.tn,Agent Général,Jendouba,35.106391,9.741683,A,BA
34,AG0034,Hamrouni,Mohamed,+216 97 786508,mohamed.hamrouni@maghrebia.com.tn,Agent Général,Ariana,34.965296,9.328221,A,CO
35,AG0035,Daoud,Walid,+216 50 805477,walid.daoud@maghrebia.com.tn,Courtier,Sousse,35.588412,10.327728,R,AG
36,AG0036,Ayari,Tarek,+216 71 355836,tarek.ayari@maghrebia.com.tn,Réseau Direct,Mahdia,35.235596,9.716264,S,MA
37,AG0037,Belhaj,SOUMAYA,+216 35 578634,soumaya.belhaj@maghrebia.com.tn,Agent Général,Gafsa,35.100547,9.792735,A,MA
38,AG0038,Kilani,Emna,+216 77 266889,emna.kilani@maghrebia.com.tn,Agent Général,Kasserine,34.970042,9.651066,A,BA
39,AG0039,Kouki,Tarek,+216 50 384913,tarek.kouki@maghrebia.com.tn,Mandataire,Jendouba,34.748347,9.290498,A,CO
40,AG0040,Karray,Manel,+216 46 973349,manel.karray@maghrebia.com.tn,Mandataire,Monastir,36.067637,10.511719,S,MA
41,AG0041,Ben Ali,Wafa,+216 73 664365,wafa.benali@maghrebia.com.tn,Mandataire,Tozeur,35.179921,9.738687,A,BA
42,AG0042,Kouki,Mohamed,+216 41 981334,mohamed.kouki@maghrebia.com.tn,Courtier,La Marsa,35.288433,9.520474,S,AG
43,AG0043,Bouzid,MANEL,+216 47 576786,manel.bouzid@maghrebia.com.tn,Agent Général,Sousse,35.666954,10.870722,A,AG
44,AG0044,Ben Ali,Emna,+216 28 919182,emna.benali@maghrebia.com.tn,Réseau Direct,Tozeur,35.15254,9.769767,A,AG
45,AG0045,Gharbi,Rania,+216 47 587623,rania.gharbi@maghrebia.com.tn,Bancassurance,Kasserine,34.800673,9.564348,A,AG
46,AG0046,Daoud,Fatma,+216 68 515922,fatma.daoud@maghrebia.com.tn,Courtier,Kairouan,35.445598,10.214369,A,AG
47,AG0047,Hajji,Mariem,+216 25 464069,mariem.hajji@maghrebia.com.tn,Bancassurance,Médenine,34.741374,9.588526,A,MA
48,AG0048,Jebali,Manel,+216 39 556641,manel.jebali@maghrebia.com.tn,Mandataire,Tozeur,35.279284,9.362049,A,MA
49,AG0049,Ayari,Emna,+216 31 392477,emna.ayari@maghrebia.com.tn,Courtier,Mahdia,35.150286,9.54191,A,BA
50,AG0050,Kouki,Bilel,+216 63 393243,bilel.kouki@maghrebia.com.tn,Bancassurance,Tunis,36.833475,10.209976,A,CO
51,AG0051,Kouki,Olfa,+216 82 569945,olfa.kouki@maghrebia.com.tn,Réseau Direct,La Marsa,34.876541,9.442641,A,BA
52,AG0052,Hamrouni,Walid,+216 65 836996,walid.hamrouni@maghrebia.com.tn,Bancassurance,Tozeur,34.850842,9.272394,A,AG
53,AG0053,Romdhane,Slim,+216 95 897135,slim.romdhane@maghrebia.com.tn,Bancassurance,Beja,35.288306,9.699577,A,BA
54,AG0054,Daoud,MOHAMED,+216 57 831295,mohamed.daoud@maghrebia.com.tn,Agent Général,Kairouan,35.461553,9.807359,A,MA
55,AG0055,Chatti,Nadia,+216 34 962050,,Agent Général,Mahdia,34.744449,9.577667,A,CO
56,AG0056,Daoud,Ali,+216 97 725084,ali.daoud@maghrebia.com.tn,Courtier,Siliana,35.165416,9.428227,S,BA
57,AG0057,Ayari,Amel,+216 32 899787,amel.ayari@maghrebia.com.tn,Courtier,Siliana,34.858788,9.248712,A,AG
58,AG0058,Ben Ali,Manel,+216 49 402099,manel.benali@maghrebia.com.tn,Agent Général,Kairouan,35.442708,9.940054,A,CO
59,AG0059,Jebali,Olfa,+216 38 174878,,Bancassurance,La Marsa,35.057026,9.694544,S,MA
60,AG0060,Oueslati,Slim,+216 89 617781,slim.oueslati@maghrebia.com.tn,Mandataire,Bizerte,37.023916,9.859217,A,BA
61,AG0061,Karray,Rania,+216 22 901909,rania.karray@maghrebia.com.tn,Bancassurance,Tunis,36.845748,10.357865,A,MA
62,AG0062,Belhaj,Karim,+216 80 464863,karim.belhaj@maghrebia.com.tn,Bancassurance,Nabeul,35.10208,9.71464,A,MA
63,AG0063,Hmida,Houssem,+216 60 364659,houssem.hmida@maghrebia.com.tn,Agent Général,Médenine,35.218946,9.694956,A,MA
64,AG0064,Hamdi,Ines,+216 76 896907,,Bancassurance,La Marsa,35.029532,9.756604,A,MA
65,AG0065,Ben Ali,Tarek,+216 90 114338,tarek.benali@maghrebia.com.tn,Réseau Direct,Bizerte,37.13482,10.104843,A,AG
66,AG0066,Kouki,Slim,+216 81 595158,slim.kouki@maghrebia.com.tn,Mandataire,Gabès,33.686785,9.914366,A,CO
67,AG0067,Tlili,Hedi,+216 84 380150,hedi.tlili@maghrebia.com.tn,Bancassurance,Sousse,35.935631,10.802486,A,MA
68,AG0068,Oueslati,Olfa,+216 68 577463,olfa.oueslati@maghrebia.com.tn,Courtier,Gabès,34.188465,9.943283,A,MA
69,AG0069,Chatti,Emna,+216 39 619389,emna.chatti@maghrebia.com.tn,Courtier,Sfax,34.701375,10.854108,S,MA
70,  AG0070  ,Chebbi,Hatem,+216 39 178463,hatem.chebbi@maghrebia.com.tn,Bancassurance,Bizerte,37.203137,10.015623,A,BA
71,AG0071,Ben Salah,Bilel,+216 89 137642,bilel.bensalah@maghrebia.com.tn,Courtier,Beja,35.078697,9.752557,R,AG
72,AG0072,Jebali,Hedi,+216 58 130353,,Réseau Direct,La Marsa,34.876021,9.424905,A,MA
73,AG0073,Hmida,Soumaya,+216 68 749813,soumaya.hmida@maghrebia.com.tn,Agent Général,Siliana,35.247697,9.285871,A,BA
74,  AG0074  ,Tlili,Mariem,+216 89 265649,,Bancassurance,Mahdia,35.292591,9.379493,R,BA
75,AG0075,Hajji,Amel,+216 50 499889,amel.hajji@maghrebia.com.tn,Mandataire,Mahdia,34.877523,9.619567,A,MA
76,AG0076,Ben Ali,Karim,+216 97 881369,karim.benali@maghrebia.com.tn,Bancassurance,Nabeul,35.165445,9.338071,A,CO
77,AG0077,Mansouri,Khaled,+216 37 758765,,Réseau Direct,Monastir,35.68536,10.764494,A,CO
78,AG0078,Fakhfakh,Amel,+216 89 483629,amel.fakhfakh@maghrebia.com.tn,Bancassurance,Sousse,35.998284,10.454182,A,MA
79,AG0079,Nefzi,Bilel,+216 48 809176,bilel.nefzi@maghrebia.com.tn,Agent Général,Médenine,35.280362,9.682753,A,MA
80,AG0080,Tlili,Olfa,+216 53 712955,olfa.tlili@maghrebia.com.tn,Bancassurance,Tunis,36.565008,10.040293,A,BA
81,AG0081,Ferchichi,Tarek,+216 58 780776,tarek.ferchichi@maghrebia.com.tn,Courtier,Kasserine,34.727208,9.222327,R,AG
82,AG0082,Ferchichi,Olfa,+216 89 539486,olfa.ferchichi@maghrebia.com.tn,Courtier,Bizerte,37.531248,9.992953,A,MA
83,AG0083,Hamdi,Slim,+216 66 204180,slim.hamdi@maghrebia.com.tn,Bancassurance,Nabeul,35.02668,9.786706,A,MA
84,AG0084,Mzoughi,Fatma,+216 47 772875,fatma.mzoughi@maghrebia.com.tn,Réseau Direct,Nabeul,34.730347,9.400105,R,CO
85,AG0085,Kilani,Hedi,+216 49 444519,hedi.kilani@maghrebia.com.tn,Mandataire,Sousse,35.501701,10.815044,A,CO
86,AG0086,Tlili,  Soumaya  ,+216 21 475644,soumaya.tlili@maghrebia.com.tn,Courtier,Beja,35.053312,9.209469,A,CO
87,AG0087,Chebbi,Fatma,+216 85 722503,fatma.chebbi@maghrebia.com.tn,Mandataire,La Marsa,34.83293,9.569064,A,BA
88,AG0088,Bouzid,Mohamed,+216 33 614084,mohamed.bouzid@maghrebia.com.tn,Agent Général,Mahdia,34.744094,9.248474,A,AG
89,AG0089,Tlili,Lobna,+216 96 656329,lobna.tlili@maghrebia.com.tn,Mandataire,Gabès,33.963256,9.859507,A,CO
90,AG0090,Oueslati,Rania,+216 32 427730,rania.oueslati@maghrebia.com.tn,Bancassurance,La Marsa,34.924581,9.291583,S,AG
91,AG0091,Kilani,Ali,+216 36 683397,,Mandataire,Sousse,35.83701,10.702008,A,MA
92,AG0092,Daoud,Lobna,+216 39 788637,lobna.daoud@maghrebia.com.tn,Réseau Direct,Sfax,34.610068,10.833759,A,BA
93,AG0093,Ferchichi,Soumaya,+216 99 743378,soumaya.ferchichi@maghrebia.com.tn,Mandataire,Siliana,34.715752,9.757451,A,BA
94,AG0094,Belhaj,Khaled,+216 20 290217,khaled.belhaj@maghrebia.com.tn,Mandataire,Tunis,36.894407,9.941751,A,AG
95,AG0095,Nefzi,Walid,+216 67 426775,walid.nefzi@maghrebia.com.tn,Mandataire,Sousse,35.857734,10.830005,A,AG
96,AG0096,Tlili,Hatem,+216 54 326040,hatem.tlili@maghrebia.com.tn,Réseau Direct,Sousse,35.707104,10.366534,A,MA
97,AG0097,Hmida,Amel,+216 20 314353,amel.hmida@maghrebia.com.tn,Courtier,Jendouba,35.16041,9.658497,A,AG
98,AG0098,Kouki,Emna,+216 49 624563,emna.kouki@maghrebia.com.tn,Bancassurance,Tunis,36.543245,10.417059,A,AG
99,AG0099,Fakhfakh,Ali,+216 73 403578,ali.fakhfakh@maghrebia.com.tn,Réseau Direct,Mahdia,35.27972,9.303124,S,MA
100,AG0100,Karray,Manel,+216 87 182467,manel.karray@maghrebia.com.tn,Bancassurance,Ben Arous,35.147483,9.332943,A,AG
101,AG0101,Bouzid,Fatma,+216 64 862712,fatma.bouzid@maghrebia.com.tn,Courtier,Jendouba,34.841761,9.287867,A,CO
102,AG0102,Belhaj,Hedi,+216 94 570711,hedi.belhaj@maghrebia.com.tn,Mandataire,Sousse,35.885795,10.891919,A,BA
103,AG0103,Oueslati,Ali,+216 95 158900,ali.oueslati@maghrebia.com.tn,Réseau Direct,Gabès,33.786245,10.071148,A,BA
104,AG0104,Bouzid,Ali,+216 90 930281,ali.bouzid@maghrebia.com.tn,Réseau Direct,Sousse,35.76984,10.78589,A,BA
105,AG0105,Kouki,Walid,+216 63 849014,,Courtier,Kasserine,34.723485,9.624573,R,CO
106,AG0106,Trabelsi,Amel,+216 26 927564,amel.trabelsi@maghrebia.com.tn,Bancassurance,Ben Arous,34.739547,9.256704,A,BA
107,AG0107,Nefzi,Mariem,+216 30 711046,mariem.nefzi@maghrebia.com.tn,Bancassurance,Nabeul,34.886139,9.593633,A,CO
108,AG0108,Aissaoui,Ali,+216 36 802667,ali.aissaoui@maghrebia.com.tn,Mandataire,Kasserine,34.756072,9.602274,A,AG
109,AG0109,Daoud,Nadia,+216 44 337547,nadia.daoud@maghrebia.com.tn,Courtier,Ben Arous,34.746299,9.706657,A,AG
110,AG0110,Abidi,Hedi,+216 43 971728,hedi.abidi@maghrebia.com.tn,Mandataire,Hammamet,35.185426,9.299323,A,MA
111,AG0111,Hmida,Emna,+216 77 345369,emna.hmida@maghrebia.com.tn,Bancassurance,Ben Arous,35.279358,9.670622,S,CO
112,AG0112,Hmida,Karim,+216 68 627335,karim.hmida@maghrebia.com.tn,Courtier,Ben Arous,35.190135,9.680756,A,BA
113,AG0113,Bouzid,Sihem,+216 86 992512,sihem.bouzid@maghrebia.com.tn,Réseau Direct,Sfax,34.85787,10.663675,S,CO
114,AG0114,Karray,Rania,+216 73 155843,rania.karray@maghrebia.com.tn,Bancassurance,La Marsa,34.841467,9.796715,A,AG
115,AG0115,Fakhfakh,Fatma,+216 37 140163,fatma.fakhfakh@maghrebia.com.tn,Agent Général,Hammamet,35.117643,9.283276,A,MA
116,AG0116,Ben Ali,Ali,+216 97 653408,ali.benali@maghrebia.com.tn,Bancassurance,Kasserine,34.842584,9.273109,A,MA
117,AG0117,,Sihem,+216 50 853448,sihem.jebali@maghrebia.com.tn,Agent Général,Sousse,35.500939,10.51169,A,CO
118,AG0118,Chebbi,Wafa,+216 84 681070,,Agent Général,Sousse,35.526121,10.532129,A,AG
119,AG0119,Zouari,Ali,+216 94 870899,ali.zouari@maghrebia.com.tn,Courtier,Ben Arous,34.726601,9.527608,A,CO
120,AG0120,Aissaoui,Sihem,+216 78 138780,sihem.aissaoui@maghrebia.com.tn,Réseau Direct,Mahdia,35.174666,9.731474,A,BA
121,AG0121,  Ben Salah  ,Olfa,+216 56 474314,olfa.bensalah@maghrebia.com.tn,Réseau Direct,Jendouba,35.219479,9.399155,A,BA
122,AG0122,Abidi,Houssem,+216 43 620306,houssem.abidi@maghrebia.com.tn,Bancassurance,La Marsa,35.254586,9.511566,A,MA
123,AG0123,Ayari,Lobna,+216 33 183958,lobna.ayari@maghrebia.com.tn,Bancassurance,Sousse,35.683898,10.661573,A,MA
124,AG0124,Oueslati,Ahmed,+216 75 387892,ahmed.oueslati@maghrebia.com.tn,Réseau Direct,Ben Arous,34.745025,9.582508,A,CO
125,AG0125,Gharbi,Lobna,+216 50 916332,lobna.gharbi@maghrebia.com.tn,Bancassurance,Tunis,36.729713,10.240347,A,MA
126,AG0126,Trabelsi,Hatem,+216 70 429657,hatem.trabelsi@maghrebia.com.tn,Courtier,Ben Arous,35.276312,9.215548,A,MA
127,AG0127,Jebali,Khaled,+216 98 399449,khaled.jebali@maghrebia.com.tn,Agent Général,Beja,34.820107,9.281437,A,CO
128,AG0128,Karray,Soumaya,+216 64 844007,,Mandataire,Mahdia,34.874217,9.379974,A,CO
129,AG0129,Chebbi,Rania,+216 83 127560,rania.chebbi@maghrebia.com.tn,Mandataire,Ben Arous,34.921347,9.682197,A,AG
130,AG0130,Daoud,Houssem,+216 72 963333,houssem.daoud@maghrebia.com.tn,Courtier,Sousse,36.083428,10.685403,A,BA
131,AG0131,Abidi,Hedi,+216 36 553633,hedi.abidi@maghrebia.com.tn,Réseau Direct,Gabès,34.098834,10.110861,A,CO
132,AG0132,Fakhfakh,Slim,+216 56 987025,,Courtier,Hammamet,35.081034,9.530505,A,BA
133,AG0133,Hamrouni,Ali,+216 39 279516,ali.hamrouni@maghrebia.com.tn,Mandataire,Kasserine,34.902572,9.754358,A,AG
134,AG0134,Hamdi,Tarek,+216 93 536822,tarek.hamdi@maghrebia.com.tn,Réseau Direct,Sousse,35.798823,10.676298,A,BA
135,AG0135,Ferchichi,Soumaya,+216 27 265759,soumaya.ferchichi@maghrebia.com.tn,Agent Général,Tozeur,34.978665,9.404116,A,BA
136,AG0136,Ben Salah,Sami,+216 50 589131,sami.bensalah@maghrebia.com.tn,Agent Général,Ben Arous,34.848751,9.258087,A,MA
137,AG0137,Ayari,Rania,+216 93 856157,rania.ayari@maghrebia.com.tn,Courtier,Kasserine,34.998959,9.508835,A,BA
138,AG0138,Ben Ali,Ali,+216 47 711680,ali.benali@maghrebia.com.tn,Réseau Direct,Tozeur,34.868814,9.558511,A,MA
139,AG0139,Hamrouni,Mohamed,+216 66 900961,mohamed.hamrouni@maghrebia.com.tn,Réseau Direct,Médenine,34.940349,9.542169,A,BA
140,AG0140,Ben Salah,Walid,+216 99 813449,walid.bensalah@maghrebia.com.tn,Courtier,Sousse,36.08505,10.536342,A,BA
141,AG0141,Trabelsi,Hedi,+216 25 147504,,Bancassurance,Beja,35.18238,9.5116,A,CO
142,AG0142,Fakhfakh,Lobna,+216 58 722565,lobna.fakhfakh@maghrebia.com.tn,Mandataire,Hammamet,35.019404,9.625244,A,AG
143,AG0143,Chatti,Mariem,+216 23 725905,mariem.chatti@maghrebia.com.tn,Mandataire,Ben Arous,35.046581,9.63284,A,CO
144,AG0144,Bouzid,Emna,+216 51 133104,emna.bouzid@maghrebia.com.tn,Réseau Direct,Jendouba,34.814471,9.464623,A,MA
145,AG0145,Ayari,Walid,+216 27 840058,walid.ayari@maghrebia.com.tn,Courtier,Monastir,35.836532,11.098874,A,MA
146,AG0146,Belhaj,Hatem,+216 53 739711,hatem.belhaj@maghrebia.com.tn,Courtier,Hammamet,34.867404,9.379099,S,BA
147,AG0147,Aissaoui,Ines,+216 91 934042,ines.aissaoui@maghrebia.com.tn,Bancassurance,Médenine,34.773124,9.605973,A,MA
148,AG0148,romdhane,Soumaya,+216 76 787836,soumaya.romdhane@maghrebia.com.tn,Agent Général,Ben Arous,34.828392,9.696771,A,BA
149,AG0149,Jebali,lobna,+216 48 768933,lobna.jebali@maghrebia.com.tn,Réseau Direct,Gabès,33.847981,10.230415,A,CO
150,AG0150,Hamrouni,Nadia,+216 81 782139,nadia.hamrouni@maghrebia.com.tn,Bancassurance,Tunis,36.692701,10.287539,S,AG
151,AG0151,Ferchichi,  Olfa  ,+216 42 538184,olfa.ferchichi@maghrebia.com.tn,Courtier,Siliana,35.260354,9.221804,A,MA
152,AG0152,Fakhfakh,Emna,+216 21 412886,emna.fakhfakh@maghrebia.com.tn,Réseau Direct,Kairouan,35.957073,10.001025,A,MA
153,AG0153,Hajji,Walid,+216 40 866634,walid.hajji@maghrebia.com.tn,Bancassurance,Gabès,34.031159,9.808451,A,BA
154,AG0154,Hmida,Hedi,+216 71 967161,hedi.hmida@maghrebia.com.tn,Bancassurance,Siliana,34.752043,9.601554,A,CO
155,,Chatti,Rania,+216 54 445637,rania.chatti@maghrebia.com.tn,Mandataire,Tozeur,34.706861,9.59221,A,AG
156,AG0156,Oueslati,Amel,+216 59 823821,amel.oueslati@maghrebia.com.tn,Bancassurance,Bizerte,37.220526,9.73251,R,MA
157,AG0157,Oueslati,Emna,+216 80 894139,emna.oueslati@maghrebia.com.tn,Courtier,Gabès,34.057116,10.208205,A,AG
158,AG0158,Oueslati,Walid,+216 27 969032,walid.oueslati@maghrebia.com.tn,Mandataire,Jendouba,34.821294,9.521996,A,MA
159,AG0159,Hmida,Ines,+216 77 947975,,Courtier,Bizerte,37.307949,9.874079,A,MA
160,AG0160,Nefzi,Mohamed,+216 94 176577,,Bancassurance,Médenine,35.120231,9.524698,A,AG
161,AG0161,Hamdi,Amel,+216 73 492650,amel.hamdi@maghrebia.com.tn,Agent Général,Tozeur,34.969122,9.750269,A,AG
162,AG0162,Gharbi,Tarek,+216 70 654531,tarek.gharbi@maghrebia.com.tn,Courtier,Beja,35.200893,9.653708,R,MA
163,AG0163,Ayari,Olfa,+216 39 389039,olfa.ayari@maghrebia.com.tn,Réseau Direct,Beja,34.71933,9.596119,A,AG
164,AG0164,  Mzoughi  ,Ali,+216 26 356622,ali.mzoughi@maghrebia.com.tn,Agent Général,Gafsa,34.963378,9.523856,A,AG
165,AG0165,Chebbi,Amel,+216 93 726962,amel.chebbi@maghrebia.com.tn,Bancassurance,Gabès,33.742142,10.325755,R,CO
166,AG0166,Daoud,Khaled,+216 42 756401,khaled.daoud@maghrebia.com.tn,Mandataire,La Marsa,34.997372,9.783374,S,MA
167,AG0167,Chatti,Slim,+216 88 596520,slim.chatti@maghrebia.com.tn,Courtier,Jendouba,34.880442,9.624546,A,AG
168,AG0168,Ayari,Manel,+216 46 446305,manel.ayari@maghrebia.com.tn,Agent Général,Beja,35.20828,9.255478,A,CO
169,AG0169,Tlili,Houssem,+216 44 943737,houssem.tlili@maghrebia.com.tn,Mandataire,Sfax,34.53021,10.625333,S,BA
170,AG0170,Mzoughi,Ines,+216 81 354377,ines.mzoughi@maghrebia.com.tn,Courtier,Tunis,36.737979,10.043599,A,BA
171,AG0171,Oueslati,Olfa,+216 83 588640,,Agent Général,Ariana,35.156977,9.39214,A,BA
172,AG0172,Hamdi,,+216 90 712401,karim.hamdi@maghrebia.com.tn,Agent Général,La Marsa,34.877115,9.317715,A,CO
173,AG0173,Hamrouni,Tarek,+216 82 858705,tarek.hamrouni@maghrebia.com.tn,Agent Général,Tozeur,34.976497,9.639663,A,CO
174,AG0174,Kouki,Nadia,+216 27 649395,,Réseau Direct,Beja,35.267113,9.600929,A,MA
175,AG0175,Kilani,,+216 84 578160,tarek.kilani@maghrebia.com.tn,Mandataire,Gabès,33.982637,10.360342,S,MA
176,AG0176,,Olfa,+216 55 661762,olfa.benali@maghrebia.com.tn,Réseau Direct,Tunis,36.80133,10.318715,A,CO
177,AG0177,Fakhfakh,Fatma,+216 52 954814,fatma.fakhfakh@maghrebia.com.tn,Agent Général,Bizerte,37.047412,10.175579,A,CO
178,AG0178,Daoud,Mariem,+216 24 198042,mariem.daoud@maghrebia.com.tn,Agent Général,Gafsa,35.031621,9.233669,A,CO
179,AG0179,Kouki,Manel,+216 32 653815,manel.kouki@maghrebia.com.tn,Courtier,Sousse,35.62685,10.82087,S,MA
180,AG0180,Hamdi,Ali,+216 24 288066,ali.hamdi@maghrebia.com.tn,Bancassurance,Nabeul,34.709395,9.324295,A,MA
181,AG0181,Daoud,Nadia,+216 89 447843,nadia.daoud@maghrebia.com.tn,Courtier,Sousse,35.974299,10.713586,A,BA
182,AG0182,Jebali,Manel,+216 98 724540,manel.jebali@maghrebia.com.tn,Bancassurance,Sfax,34.417775,10.663996,R,MA
183,AG0183,Trabelsi,Olfa,+216 68 189856,olfa.trabelsi@maghrebia.com.tn,Bancassurance,Gafsa,35.178833,9.627865,A,CO
184,AG0184,Aissaoui,Soumaya,+216 33 195966,,Bancassurance,Ariana,34.966842,9.656808,A,AG
185,AG0185,Ayari,Hatem,+216 31 471106,hatem.ayari@maghrebia.com.tn,Mandataire,Kairouan,35.758826,9.994658,A,BA
186,AG0186,Ben Salah,Hedi,+216 51 699743,hedi.bensalah@maghrebia.com.tn,Agent Général,La Marsa,34.801701,9.361351,A,CO
187,AG0187,Belhaj,Manel,+216 66 363926,manel.belhaj@maghrebia.com.tn,Agent Général,Sousse,35.856284,10.417329,A,BA
188,AG0188,Ben Salah,Bilel,+216 76 450996,bilel.bensalah@maghrebia.com.tn,Mandataire,Tunis,36.581675,10.092399,S,CO
189,AG0189,Chatti,Nadia,+216 82 703853,nadia.chatti@maghrebia.com.tn,Bancassurance,Tozeur,34.925633,9.689897,A,AG
190,AG0190,Mzoughi,Karim,+216 23 862538,karim.mzoughi@maghrebia.com.tn,Courtier,Siliana,34.963073,9.374799,A,MA
191,AG0191,Gharbi,Tarek,+216 74 927406,tarek.gharbi@maghrebia.com.tn,Agent Général,Tozeur,35.29442,9.487541,A,MA
192,AG0192,Hamdi,Soumaya,+216 96 769180,soumaya.hamdi@maghrebia.com.tn,Réseau Direct,Beja,35.161372,9.594561,A,AG
193,AG0193,Bouzid,Mariem,+216 75 211090,,Bancassurance,Siliana,34.833201,9.648112,A,CO
194,AG0194,Trabelsi,Houssem,+216 39 461724,houssem.trabelsi@maghrebia.com.tn,Agent Général,Mahdia,34.76273,9.449585,R,AG
195,AG0195,Trabelsi,Amel,+216 64 599292,,Agent Général,Gabès,33.791346,9.980158,A,AG
196,AG0196,Hajji,Bilel,+216 51 641058,bilel.hajji@maghrebia.com.tn,Courtier,Tunis,36.698594,10.155822,A,MA
197,AG0197,Belhaj,Tarek,+216 45 571413,tarek.belhaj@maghrebia.com.tn,Agent Général,Kairouan,35.40267,9.928878,A,AG
